infinitive,tu,usted,ustedes
inducir,induce,induzca,induzcan
influir,influye,influya,influyan
informar,informa,informe,informen
iniciar,inicia,inicie,inicien
inmigrar,inmigra,inmigre,inmigren
insistir,insiste,insista,insistan
instalar,instala,instale,instalen
insultar,insulta,insulte,insulten
intentar,intenta,intente,intenten
interesar,interesa,interese,interesen
interpretar,interpreta,interprete,interpreten
introducir,introduce,introduzca,introduzcan
invadir,invade,invada,invadan
inventar,inventa,invente,inventen
invertir,invierte,invierta,inviertan
investigar,investiga,investigue,investiguen
invitar,invita,invite,inviten
invocar,invoca,invoque,invoquen
ir,ve,vaya,vayan
irse,vete,váyase,váyanse
jactarse,jáctate,jáctese,jáctense
jugar,juega,juegue,jueguen
juntar,junta,junte,junten
juntarse,júntate,júntese,júntense
jurar,jura,jure,juren
ladrar,ladra,ladre,ladren
lamentar,lamenta,lamente,lamenten
lanzar,lanza,lance,lancen
lastimar,lastima,lastime,lastimen
lavar,lava,lave,laven
lavarse,lávate,lávese,lávense
leer,lee,lea,lean
legalizar,legaliza,legalice,legalicen
levantar,levanta,levante,levanten
levantarse,levántate,levántese,levántense
limpiar,limpia,limpie,limpien
llamar,llama,llame,llamen
llamarse,llámate,llámese,llámense
llegar,llega,llegue,lleguen
llenar,llena,llene,llenen
llevar,lleva,lleve,lleven
llorar,llora,llore,lloren
llover,llueve,llueva,lluevan
lograr,logra,logre,logren
luchar,lucha,luche,luchen
madurar,madura,madure,maduren
mandar,manda,mande,manden
manejar,maneja,maneje,manejen
mantener,mantén,mantenga,mantengan
maquillar,maquilla,maquille,maquillen
maquillarse,no te maquíllate,no te maquíllese,maquíllense
marcar,marca,marque,marquen
masticar,mastica,mastique,mastiquen
matar,mata,mate,maten
matricular,matricula,matricule,matriculen
matricularse,matricúlate,matricúlese,matricúlense
medir,mide,mida,midan
mentir,miente,mienta,mientan
merecer,merece,merezca,merezcan
merendar,merienda,meriende,merienden
meter,mete,meta,metan
mezclar,mezcla,mezcle,mezclen
mirar,mira,mire,miren
modificar,modifica,modifique,modifiquen
molestar,molesta,moleste,molesten
montar,monta,monte,monten
morir,muere,muera,mueran
mostrar,muestra,muestre,muestren
mover,mueve,mueva,muevan
moverse,muévete,muévase,muévanse
mudar(se),muda,mude,muden
mudarse,múdate,múdese,múdense
nacer,nace,nazca,nazcan
nadar,nada,nade,naden
navegar,navega,navegue,naveguen
necesitar,necesita,necesite,necesiten
negar,niega,niegue,nieguen
negarse,niégate,niéguese,niéguense
negociar,negocia,negocie,negocien
nevar,nieva,nieve,nieven
notar,nota,note,noten
obedecer,obedece,obedezca,obedezcan
obligar,obliga,obligue,obliguen
obtener,obtén,obtenga,obtengan
ocurrir,ocurre,ocurra,ocurran
odiar,odia,odie,odien
ofender,ofende,ofenda,ofendan
ofrecer,ofrece,ofrezca,ofrezcan
oír,oye,oiga,oigan
oler,huele,huela,huelan
olvidar,olvida,olvide,olviden
olvidarse,olvídate,olvídese,olvídense
oponer,opón,oponga,opongan
oponerse,oponte,opóngase,opónganse
organizar,organiza,organice,organicen
padecer,padece,padezca,padezcan
pagar,paga,pague,paguen
parar,para,pare,paren
parecer,parece,parezca,parezcan
participar,participa,participe,participen
pasar,pasa,pase,pasen
patinar,patina,patine,patinen
pedir,pide,pida,pidan
pegar,pega,pegue,peguen
peinar,peina,peine,peinen
peinarse,péinate,péinese,péinense
pelear,pelea,pelee,peleen
pensar,piensa,piense,piensen
perder,pierde,pierda,pierdan
perdonar,perdona,perdone,perdonen
permanecer,permanece,permanezca,permanezcan
permitir,permite,permita,permitan
perseguir,persigue,persiga,persigan
pertenecer,pertenece,pertenezca,pertenezcan
pesar,pesa,pese,pesen
pescar,pesca,pesque,pesquen
picar,pica,pique,piquen
pintar,pinta,pinte,pinten
platicar,platica,platique,platiquen
planchar,plancha,planche,planchen
plantar,planta,plante,planten
poder,puede,pueda,puedan
poner,pon,ponga,pongan
ponerse,ponte,póngase,pónganse
practicar,practica,practique,practiquen
predecir,predice,prediga,predigan
preferir,prefiere,prefiera,prefieran
preguntar,pregunta,pregunte,pregunten
preguntarse,pregúntate,pregúntese,pregúntense
preparar,prepara,prepare,preparen
prepararse,prepárate,prepárese,prepárense
presentir,presiente,presienta,presientan
preservar,preserva,preserve,preserven
prever,prevé,prevea,prevean
probar,prueba,pruebe,prueben
producir,produce,produzca,produzcan
prohibir,prohíbe,prohíba,prohíban
prometer,promete,prometa,prometan
proponer,propón,proponga,propongan
proseguir,prosigue,prosiga,prosigan
proteger,protege,proteja,protejan
protestar,protesta,proteste,protesten
provocar,provoca,provoque,provoquen
publicar,publica,publique,publiquen
purificar,purifica,purifique,purifiquen
quebrar,quiebra,quiebre,quiebren
quebrarse,quiébrate,quiébrese,quiébrense
quedar,queda,quede,queden
quedarse,quédate,quédese,quédense
quejarse,quéjate,quéjese,quéjense
quemar,quema,queme,quemen
quemarse,quémate,quémese,quémense
querer,quiere,quiera,quieran
realizar,realiza,realice,realicen
rechazar,rechaza,rechace,rechacen
recibir,recibe,reciba,reciban
reciclar,recicla,recicle,reciclen
recoger,recoge,recoja,recojan
recomendar,recomienda,recomiende,recomienden
reconocer,reconoce,reconozca,reconozcan
recordar,recuerda,recuerde,recuerden
reducir,reduce,reduzca,reduzcan
regalar,regala,regale,regalen
regar,riega,riegue,rieguen
regatear,regatea,regatee,regateen
regir,rige,rija,rijan
registrar,registra,registre,registren
registrarse,regístrate,regístrese,regístrense
regresar,regresa,regrese,regresen
regular,regula,regule,regulen
rehusar,rehúsa,rehúse,rehúsen
reinar,reina,reine,reinen
reír,ríe,ría,rían
renacer,renace,renazca,renazcan
renovar,renueva,renueve,renueven
renunciar,renuncia,renuncie,renuncien
reñir,riñe,riña,riñan
reparar,repara,repare,reparen
repasar,repasa,repase,repasen
repetir,repite,repita,repitan
replicar,replica,replique,repliquen
reportar,reporta,reporte,reporten
requerir,requiere,requiera,requieran
reservar,reserva,reserve,reserven
resolver,resuelve,resuelva,resuelvan
respetar,respeta,respete,respeten
respirar,respira,respire,respiren
responder,responde,responda,respondan
resultar,resulta,resulte,resulten
revelar,revela,revele,revelen
rezar,reza,rece,recen
robar,roba,robe,roben
rogar,ruega,ruegue,rueguen
romper,rompe,rompa,rompan
saber,sabe,sepa,sepan
sacar,saca,saque,saquen
sacrificar,sacrifica,sacrifique,sacrifiquen
sacudir,sacude,sacuda,sacudan
salir,sal,salga,salgan
saltar,salta,salte,salten
saludar,saluda,salude,saluden
salvar,salva,salve,salven
satisfacer,satisfaz,satisfaga,satisfagan
satirizar,satiriza,satirice,satiricen
secar,seca,seque,sequen
secarse,equivócate,equivóquese,equivóquense
seguir,sigue,siga,sigan
sentar,sienta,siente,sienten
sentarse,siéntate,siéntese,siéntense
sentir,siente,sienta,sientan
sentirse,siéntete,siéntase,siéntanse
señalar,señala,señale,señalen
ser,sé,sea,sean
servir,sirve,sirva,sirvan
significar,significa,signifique,signifiquen
simbolizar,simboliza,simbolice,simbolicen
situar,sitúa,sitúe,sitúen
sobrevivir,sobrevive,sobreviva,sobrevivan
soler,suele,suela,suelan
sonar,suena,suene,suenen
soñar,sueña,sueñe,sueñen
sonreír,sonríe,sonría,sonrían
soportar,soporta,soporte,soporten
sorprender,sorprende,sorprenda,sorprendan
subir,sube,suba,suban
suceder,sucede,suceda,sucedan
sufrir,sufre,sufra,sufran
sugerir,sugiere,sugiera,sugieran
suponer,supón,suponga,supongan
surgir,surge,surja,surjan
suspirar,suspira,suspire,suspiren
sustituir,sustituye,sustituya,sustituyan
tañer,tañe,taña,tañan
tapar,tapa,tape,tapen
tardar,tarda,tarde,tarden
temer,teme,tema,teman
tener,ten,tenga,tengan
teñir,tiñe,tiña,tiñan
terminar,termina,termine,terminen
tirar,tira,tire,tiren
tocar,toca,toque,toquen
tomar,toma,tome,tomen
torcer,tuerce,tuerza,tuerzan
toser,tose,tosa,tosan
trabajar,trabaja,trabaje,trabajen
traducir,traduce,traduzca,traduzcan
traer,trae,traiga,traigan
tragar,traga,trague,traguen
tratar,trata,trate,traten
triunfar,triunfa,triunfe,triunfen
tropezar,tropieza,tropiece,tropiecen
ubicar,ubica,ubique,ubiquen
unir,une,una,unan
untar,unta,unte,unten
usar,usa,use,usen
utilizar,utiliza,utilice,utilicen
vaciar,vacía,vacíe,vacíen
valer,vale,valga,valgan
variar,varía,varíe,varíen
violar,viola,viole,violen
vencer,vence,venza,venzan
vender,vende,venda,vendan
venir,ven,venga,vengan
ver,ve,vea,vean
verificar,verifica,verifique,verifiquen
vestir,viste,vista,vistan
vestirse,vístete,vístase,vístanse
viajar,viaja,viaje,viajen
visitar,visita,visite,visiten
vivir,vive,viva,vivan
volar,vuela,vuele,vuelen
volver,vuelve,vuelva,vuelvan
vomit,vomita,vomite,vomiten
votar,vota,vote,voten
yacer,yace,yazca,yazcan
zambullirse,zambúllete,zambúllase,zambúllanse
besar,besa,bese,besen
bailar,baila,baile,bailen
presentar,presenta,presente,presenten
esperar,espera,espere,esperen
